straightening-charge,en,Straightening Charge
stowage-charge,en,Stowage Charge
storage-of-vehicles,en,Storage of Vehicles
storage-in-transit,en,Storage in Transit
storage,en,Storage
stopping-in-transit,en,Stopping in Transit
stopoff-at-orgination,en,Stopoff at Orgination
stopoff-at-destination,en,Stopoff at Destination
stopcharge,en,Stopcharge
stop-offs-for-privately-owned-vehicle-shipment-charge,en,Stop-offs for Privately Owned Vehicle Shipment Charge
stop-off-delivery-of-personal-vehicles-charge,en,Stop Off Delivery of Personal Vehicles Charge
stop-off-charge,en,Stop-off Charge
stop-off-at-pier-charge,en,Stop-off at Pier Charge
stenciling-charge,en,Stenciling Charge
steaming-charge,en,Steaming Charge
state-tax,en,State Tax
state-surcharge,en,State Surcharge
state-sales-charge,en,State Sales Charge
state-motor-fuel,en,State Motor Fuel
state-metropolitan-transit-authority-surcharge,en,State/Metropolitan Transit Authority Surcharge
state-hazardous-substance-tax,en,State Hazardous Substance Tax
standby-charge,en,Standby Charge
standard-labor-charge,en,Standard Labor Charge
stamp-fee,en,Stamp Fee
stairs-elevator-excess-carry,en,"Stairs,en, Elevator,en, Excess Carry"
spreader-charge,en,Spreader Charge
spotting-of-trailer,en,Spotting of Trailer
spool-charge,en,Spool Charge
split-pick-up-at-pier-charge,en,Split Pick-Up at Pier Charge
split-pick-up,en,Split Pick-up
split-delivery,en,Split Delivery
special-vehicle-rent,en,Special Vehicle Rent
special-use,en,Special Use
special-train-movement,en,Special Train Movement
special-tooling-rework-charge,en,Special tooling rework charge
special-tooling-charge,en,Special Tooling Charge
special-test-equipment-charge,en,Special Test Equipment Charge
special-seal-charge,en,Special Seal Charge
special-pump-charge,en,Special Pump Charge
special-pickup,en,Special Pickup
special-permits,en,Special Permits
special-packaging,en,Special Packaging
special-motor-surveillance-charge,en,Special Motor Surveillance Charge
special-mileage-movements,en,Special Mileage Movements
special-handling-service,en,Special Handling Service
special-freight-supplements,en,Special Freight Supplements
special-finish-charge,en,Special Finish Charge
special-equipment-charge,en,Special Equipment Charge
special-dromedary-service,en,Special Dromedary Service
special-detention-charge,en,Special Detention Charge
special-delivery,en,Special Delivery
special-credit,en,Special Credit
special-containers,en,Special Containers
special-circus-trains,en,Special Circus Trains
special-buy,en,Special Buy
special-allowance,en,Special Allowance
software-support-service,en,Software Support Service
small-order-charge,en,Small Order Charge
slip-sheet-charge,en,Slip Sheet Charge
skirting-and-unskirting,en,Skirting and Unskirting
single-shipment-fee,en,Single Shipment Fee
single-pick-up,en,Single Pick-up
single-invoice-allowance,en,Single Invoice Allowance
single-factor-port-of-embarkation-destination,en,Single Factor Port of Embarkation/Destination
single-factor-origination-destination,en,Single Factor Origination/Destination
single-factor-orginiation-port-of-debarkation,en,Single Factor Orginiation/Port of Debarkation
shrink-wrap-charge,en,Shrink-Wrap Charge
shipside-pickup,en,Shipside Pickup
shipping-and-handling,en,Shipping and Handling
shipper-load,en,Shipper Load
shipment-holdover-on-weekends-charge,en,Shipment Holdover on Weekends Charge
shipment-holdover-on-weekdays-charge,en,Shipment Holdover on Weekdays Charge
shipment-holdover-on-holidays-charge,en,Shipment Holdover on Holidays Charge
shipment-holdover-charge-for-weekends,en,Shipment Holdover Charge for Weekends
shipment-holdover-charge-for-holidays,en,Shipment Holdover Charge for Holidays
shipment-from-non-temp-storage,en,Shipment from Non-temp Storage
ship-exact-quantity-charge,en,Ship Exact Quantity Charge
service-upgrade,en,Service Upgrade
service-charge-with-cash-discount,en,Service Charge (with Cash Discount)
service-charge,en,Service Charge
service-assistance-program-surcharge,en,Service Assistance Program Surcharge
self-unloader,en,Self Unloader
select-charge,en,Select Charge
segregating-sorting,en,Segregating (Sorting)
security-signature-service,en,Security Signature Service
security-escort-vehicle-service,en,Security Escort Vehicle Service
scrap-allowance,en,Scrap Allowance
scale-charge-unloading,en,Scale Charge Unloading
scale-charge,en,Scale Charge
saturday-pick-up-or-delivery-charge,en,Saturday Pick-up or Delivery Charge
saturday-pick-up,en,Saturday Pick-Up
saturday-delivery,en,Saturday Delivery
satisfactory-service-standards-charge,en,Satisfactory Service Standards Charge
satellite-surveillance-service,en,Satellite Surveillance Service
salvage,en,Salvage
sales-tax-state-and-local,en,Sales Tax (State and Local)
sales-and-use-tax,en,Sales and Use Tax
royalties,en,Royalties
roll-rebate,en,Roll Rebate
roll-out-adjustment,en,Roll Out Adjustment
rocky-mountain-bureau-583-item-1100-arbitrary-charge,en,Rocky Mountain Bureau 583 Item 1100 Arbitrary Charge
riding-attendant-charge,en,Riding Attendant Charge
returned-load,en,Returned Load
return-of-empty-container-charge,en,Return of Empty Container Charge
return-movement-of-pallet-charge,en,Return Movement of Pallet Charge
return-carrier-guard-car-charge,en,Return Carrier Guard Car Charge
return-cargo-charge,en,Return Cargo Charge
retainer,en,Retainer
retail-loss-allowance,en,Retail Loss Allowance
restricted-speeds,en,Restricted Speeds
restricted-article-fee,en,Restricted Article Fee
restocking-charge,en,Restocking Charge
respotting,en,Respotting
residential-pick-up,en,Residential Pick-up
residential-delivery,en,Residential Delivery
reshipment,en,Reshipment
reservations,en,Reservations
resellers-discount,en,Resellers Discount
research-and-development-fee,en,Research & development fee
requested-labor-charge,en,Requested Labor Charge
request-via-canada,en,Request Via Canada
repickup,en,Repickup
repair-charge,en,Repair Charge
repair-at-government-expense-charge,en,Repair at government expense charge
repair-at-customer-expense-charge,en,Repair at customer expense charge
repair-at-buyers-expense-charge,en,Repair at buyers expense charge
repack-charge,en,Repack Charge
rents-and-leases,en,Rents and Leases
rental-deduction,en,Rental Deduction
rental-charge,en,Rental Charge
renewal,en,Renewal
relocation-of-vehicle,en,Relocation of Vehicle
relinquishment-charge,en,Relinquishment Charge
reliability-charge,en,Reliability Charge
released-value-charge-in-excess-of-carrier-maximum-liability-charge,en,Released Value Charge in Excess of Carrier Maximum Liability Charge
regulatory-tax,en,Regulatory tax
regulatory-required-refund,en,Regulatory required refund
regulatory-fee,en,Regulatory Fee
registration-of-export-shipments,en,Registration of Export Shipments
registration-of-export-for-reentry,en,Registration of Export for Reentry
regain-charge,en,Regain Charge
regain-allowance,en,Regain Allowance
refurbishing-charge,en,Refurbishing Charge
refund,en,Refund
refrigeration-mechanical-detention,en,Refrigeration/Mechanical Detention
refrigeration,en,Refrigeration
reel-deposit,en,Reel Deposit
reel-cable,en,Reel Cable
reefer-maintenance,en,Reefer Maintenance
reefer-cargo-percent-differential,en,Reefer Cargo Percent Differential
reduction-prepalletized-cargo,en,Reduction Prepalletized Cargo
redistribution-allowance,en,Redistribution Allowance
redelivery,en,Redelivery
recurring-software-maintenance-charge,en,Recurring Software Maintenance Charge
recurring-license-fee,en,Recurring License Fee
recurring-hardware-maintenance-charge,en,Recurring Hardware Maintenance Charge
recrating-recoopering-origin,en,Recrating/Recoopering - Origin
recrating-recoopering-destination,en,Recrating/Recoopering - Destination
recovery-fee,en,Recovery Fee
recovery-allowance,en,Recovery Allowance
record-filing,en,Record/Filing
recoopering-at-owners-or-shippers-expense,en,Recoopering (at Owner's or Shipper's Expense)
reconsignment-charge,en,Reconsignment Charge
reconsign-delivery-charge,en,Reconsign Delivery Charge
reconsign-consignee-charge,en,Reconsign Consignee Charge
reconnect-charge,en,Reconnect charge
reclamation-state,en,"Reclamation,en, State"
reclamation-federal,en,"Reclamation,en, Federal"
recipient-address-correction,en,Recipient Address Correction
rebilled-drayage-origin,en,Rebilled Drayage - Origin
rebilled-drayage-destination,en,Rebilled Drayage - Destination
rebate,en,Rebate
re-bill-charge,en,Re-Bill Charge
rate-code,en,Rate Code
ramping,en,Ramping
railhead-handling,en,Railhead Handling
rail-surveillance,en,Rail Surveillance
rail-armed-guard-service,en,Rail Armed Guard Service
quantity-surcharge,en,Quantity Surcharge
