ABF,en,ABF Freight System
AGSystems,en,
AmazonMws,en,
APC,en,
Aramex,en,
ArrowXL,en,
Asendia,en,
AsendiaHK,en,
AustraliaPost,en,
BlueDart,en,
Boxberry,en,
Cainiao,en,
CanadaPost,en,
Canpar,en,
ColumbusLastMile,en,
ChinaPost,en,
Chronopost,en,
ColisPrive,en,
Colissimo,en,
Correios,en,
CorreosChile,en,
CorreosCostaRica,en,
Delhivery,en,
Deliv,en,
DeutschePost,en,
DHLEcommerceAsia,en,
DHLExpress,en,
DHLFreight,en,
DHLGermany,en,
DHLGlobalMail,en,
DHLGlobalmailInternational,en,
Dicom,en,
DirectLink,en,
Dominos,en,
Doorman,en,
DPD,en,
DPDUK,en,
ECFirstclass,en,
EcomExpress,en,
ChinaEMS,en,
Estes,en,Estes
Fastway,en,
FedEx,en,Federal Express
FedExFreight,en,
FedExMailview,en,
FedExSameDayCity,en,
FedExUK,en,
FedexSmartPost,en,
FlytExpress,en,
Freipost,en,
Globegistics,en,
GLS,en,
GSO,en,
HongKongPost,en,
IMEX,en,
IndiaPost,en,
InterlinkExpress,en,
InternationalBridge,en,
IsraelPost,en,
JPPost,en,
KuronekoYamato,en,
LaPoste,en,
LaserShip,en,
LatvijasPasts,en,
Liefery,en,
LoomisExpress,en,
LSO,en,
NanjingWoyuan,en,
Network4,en,
Newgistics,en,
NewZealandPost,en,
NinjaVan,en,
Norco,en,
NovaPoshta,en,
OnTrac,en,
OnTracDirectPost,en,
OrangeDS,en,
Parcelforce,en,
Pilot,en,
POSMalaysia,en,
Postmates,en,
PostNL,en,
Posten,en,
PostNord,en,
Purolator,en,
RavenPost,en,
RLCarriers,en,
RoyalMail,en,
RRDonnelley,en,
SFExpress,en,
SingaporePost,en,
SMSAExpress,en,
SpeeDee,en,
TaiwanPost,en,
TestCarrier,en,Test Carrier
Toll,en,
TForce,en,
UberRUSH,en,
UDS,en,
Ukrposhta,en,
UPS,en,United Parcel Service
UPSFreight,en,
UPSIparcel,en,
UPSMailInnovations,en,true
USFHolland,en,
USPS,en,United States Postal Service
WatkinsAndShepard,en,
wnDirect,en,
Yanwen,en,
Yodel,en,
YunExpress,en,
